ก.	k-@@-z^-0|
กฎ	k-o-t^-1|
กฎหมาย	k-o-t^-1|m-aa-j^-4|
กฎหมายอาญา	k-o-t^-1|m-aa-j^-4|z-aa-z^-0|j-aa-z^-0|
กฎเกณฑ์	k-o-t^-1|k-ee-n^-0|
กด	k-o-t^-1|
กดขี่	k-o-t^-1|kh-ii-z^-1|
กดดัน	k-o-t^-1|d-a-n^-0|
กตัญญู	k-a-z^-1|t-a-n^-0|j-uu-z^-0|
กติกา	k-a-z^-1|t-i-z^-1|k-aa-z^-0|
กทม.	k-@@-z^-0|th-@@-z^-0|m-@@-z^-0|
กบฏ	k-a-z^-1|b-o-t^-1|
กมล	k-a-z^-1|m-o-n^-0|
กรกฎาคม	k-a-z^-1|r-a-k^-3|k-a-z^-1|d-aa-z^-0|kh-o-m^-0|
กรกฎาคม	k-a-z^-1|r-a-z^-3|k-a-z^-1|d-aa-z^-0|kh-o-m^-0|
กรณี	k-@@-z^-0|r-a-z^-3|n-ii-z^-0|
กรม	kr-o-m^-0|
กรรม	k-a-m^-0|
กรรมกร	k-a-m^-0|m-a-z^-3|k-@@-n^-0|
กรรมการ	k-a-m^-0|m-a-z^-3|k-aa-n^-0|
กรรมพันธุ์	k-a-m^-0|m-a-z^-3|ph-a-n^-0|
กรรมวิธี	k-a-m^-0|m-a-z^-3|w-i-z^-3|th-ii-z^-0|
กรรมสิทธิ์	k-a-m^-0|m-a-z^-3|s-i-t^-1|
กรรมาธิการ	k-a-m^-0|m-aa-z^-0|th-i-z^-3|k-aa-n^-0|
กรอ.	k-@@-z^-0|r-@@-z^-0|z-@@-z^-0|
กรอบ	kr-@@-p^-1|
กระจก	kr-a-z^-1|c-o-k^-1|
กระจกเงา	kr-a-z^-1|c-o-k^-1|ng-a-w^-0|
กระจัดกระจาย	kr-a-z^-1|c-a-t^-1|kr-a-z^-1|c-aa-j^-0|
กระจาบ	kr-a-z^-1|c-aa-p^-1|
กระจาย	kr-a-z^-1|c-aa-j^-0|
กระจ่าง	kr-a-z^-1|c-aa-ng^-1|
กระดูก	kr-a-z^-1|d-uu-k^-1|
กระตือรือร้น	kr-a-z^-1|t-vv-z^-0|r-vv-z^-0|r-o-n^-3|
กระตุก	kr-a-z^-1|t-u-k^-1|
กระตุ้น	kr-a-z^-1|t-u-n^-2|
กระทบ	kr-a-z^-1|th-o-p^-3|
กระทบกระทั่ง	kr-a-z^-1|th-o-p^-3|kr-a-z^-1|th-a-ng^-2|
กระทบกระเทือน	kr-a-z^-1|th-o-p^-3|kr-a-z^-1|th-vva-n^-0|
กระทรวง	kr-a-z^-1|s-uua-ng^-0|
กระทรวง	kr-a-z^-1|s-uua-ng^-0||
กระทั่ง	kr-a-z^-1|th-a-ng^-2|
กระทำ	kr-a-z^-1|th-a-m^-0|
กระทู้	kr-a-z^-1|th-uu-z^-3|
กระท่อม	kr-a-z^-1|th-@@-m^-2|
กระนั้น	kr-a-z^-1|n-a-n^-3|
กระบวน	kr-a-z^-1|b-uua-n^-0|
กระบวนการ	kr-a-z^-1|b-uua-n^-0|k-aa-n^-0|
กระป๋อง	kr-a-z^-1|p-@-ng^-4|
กระพือ	kr-a-z^-1|ph-vv-z^-0|
กระมัง	kr-a-z^-1|m-a-ng^-0|
กระสุน	kr-a-z^-1|s-u-n^-4|
กระหาย	kr-a-z^-1|h-aa-j^-4|
กระเดียด	kr-a-z^-1|d-iia-t^-1|
กระเทือน	kr-a-z^-1|th-vva-n^-0|
กระแทก	kr-a-z^-1|th-xx-k^-2|
กระแส	kr-a-z^-1|s-xx-z^-4|
กระโดด	kr-a-z^-1|d-oo-t^-1|
กระโน้น	kr-a-z^-1|n-oo-n^-3|
กระไร	kr-a-z^-1|r-a-j^-0|
กราบ	kr-aa-p^-1|
กริยา	kr-i-z^-1|j-aa-z^-0|
กรีซ	kr-ii-s^-3|
กรีน	kr-ii-n^-0|
กรุง	kr-u-ng^-0|
กรุงเทพ	kr-u-ng^-0|th-ee-p^-2|
กรุงเทพมหานคร	kr-u-ng^-0|th-ee-p^-2|m-a-z^-3|h-aa-z^-4|n-a-z^-3|kh-@@-n^-0|
กรุณา	k-a-z^-1|r-u-z^-3|n-aa-z^-0|
กรุณาธิคุณ	k-a-z^-1|r-u-z^-3|n-aa-z^-0|th-i-z^-3|kh-u-n^-0|
กลม	kl-o-m^-0|
กลมกลืน	kl-o-m^-0|kl-vv-n^-0|
กลยุทธ์	k-o-n^-0|l-a-z^-3|j-u-t^-3|
กลวิธาน	k-o-n^-0|l-a-z^-3|w-i-z^-3|th-aa-n^-0|
กลวิธี	k-o-n^-0|l-a-z^-3|w-i-z^-3|th-ii-z^-0|
กลับ	kl-a-p^-1|
กลับกลาย	kl-a-p^-1|kl-aa-j^-0|
กลัว	kl-uua-z^-0|
กลั่นกรอง	kl-a-n^-1|kr-@@-ng^-0|
กลั้น	kl-a-n^-2|
กลาง	kl-aa-ng^-0|
กลางคืน	kl-aa-ng^-0|kh-vv-n^-0|
กลางวัน	kl-aa-ng^-0|w-a-n^-0|
กลาย	kl-aa-j^-0|
กลาโหม	k-a-z^-1|l-aa-z^-0|h-oo-m^-4|
กลิ่น	kl-i-n^-1|
กลืน	kl-vv-n^-0|
กลุ่ม	kl-u-m^-1|
กลไก	k-o-n^-0|k-a-j^-0|
กล่องเสียง	kl-@-ng^-1|s-iia-ng^-4|
กล่าว	kl-aa-w^-1|
กล่าว	kl-aa-w^1|
กล่าวขวัญ	kl-aa-w^-1|khw-a-n^-4|
กล่าวคือ	kl-aa-w^-1|kh-vv-z^-0|
กล่าวว่า	kl-aa-w^-1|w-aa-z^-2|
กล่าวหา	kl-aa-w^-1|h-aa-z^-4|
กล่าวอ้าง	kl-aa-w^-1|z-aa-ng^-2|
กล้า	kl-aa-z^-2|
กล้ามเนื้อ	kl-aa-m^-2|n-vva-z^-3|
กล้าหาญ	kl-aa-z^-2|h-aa-n^-4|
กวาดล้าง	kw-aa-t^-1|l-aa-ng^-3|
กวี	k-a-z^-1|w-ii-z^-0|
กวีนิพนธ์	k-a-z^-1|w-ii-z^-0|n-i-z^-3|ph-o-n^-0|
กว่า	kw-aa-z^-1|
กว้าง	kw-aa-ng^-2|
กว้างขวาง	kw-aa-ng^-2|khw-aa-ng^-4|
กว้าน	kw-aa-n^-2|
กษัตริย์	k-a-z^-1|s-a-t^-1|
กษัยการ	k-a-z^-1|s-a-j^-4|j-a-z^-3|k-aa-n^-0|
กสิกร	k-a-z^-1|s-i-z^-1|k-@@-n^-0|
กสิกรรม	k-a-z^-1|s-i-z^-1|k-a-m^-0|
กอง	k-@@-ng^-0|
กองทหาร	k-@@-ng^-0|th-a-z^-3|h-aa-n^-4|
กองทัพ	k-@@-ng^-0|th-a-p^-3|
กองทุน	k-@@-ng^-0|th-u-n^-0|
กองพัน	k-@@-ng^-0|ph-a-n^-0|
กอบกู้	k-@@-p^-1|k-uu-z^-2|
กอบโกย	k-@@-p^-1|k-oo-j^-0|
กอร์บาชอฟ	k-@@-z^-0|b-aa-z^-0|ch-@@-p^-3|
กะทันหัน	k-a-z^-1|th-a-n^-0|h-a-n^-4|
กะทูน	k-a-z^-1|th-uu-n^-0|
กะโหลก	k-a-z^-1|l-oo-k^-1|
กักกุม	k-a-k^-1|k-u-m^-0|
กังวล	k-a-ng^-0|w-o-n^-0|
กังวาล	k-a-ng^-0|w-aa-n^-0|
กัณหา	k-a-n^-0|h-aa-z^-4|
กัด	k-a-t^-1|
กัน	k-a-n^-0|
กันยายน	k-a-n^-0|j-aa-z^-0|j-o-n^-0|
กันเอง	k-a-n^-0|z-ee-ng^-0|
กันและกัน	k-a-n^-0|l-x-z^-3|k-a-n^-0|
กับ	k-a-p^-1|
กัป	k-a-p^-1|
กัมพูชา	k-a-m^-0|ph-uu-z^-0|ch-aa-z^-0|
กั้น	k-a-n^-2|
กาก	k-aa-k^-1|
กาญจนบุรี	k-aa-n^-0|c-a-z^-1|n-a-z^-3^|b-u-z^-1|r-ii-z^-0|
กาม	k-aa-m^-0|
กาย	k-aa-j^-0|
กายภาพ	k-aa-j^-0|j-a-z^-3|ph-aa-p^-2|
การ	k-aa-n^-0|
การค้า	k-aa-n^-0|kh-aa-z^-3|
การงาน	k-aa-n^-0|ng-aa-n^-0|
การณ์	k-aa-n^-0|
การดำเนิน	k-aa-n^-0|d-a-m^-0|n-qq-n^-0|
การตลาด	k-aa-n^-0|t-a-z^-1|l-aa-t^-1|
การทหาร	k-aa-n^-0|th-a-z^-3|h-aa-n^-4|
การผลิต	k-aa-n^-0|ph-a-z^-1|l-i-t^-1|
การละคร	k-aa-n^-0|l-a-z^-3|kh-@@-n^-0|
การวิจัย	k-aa-n^-0|w-i-z^-3|c-a-j^-0|
การศึกษา	k-aa-n^-0|s-v-k^-1|s-aa-z^-4|
การสัมมนา	k-aa-n^-0|s-a-m^-4|m-a-z^-3|n-aa-z^-0|
การันต์	k-aa-z^-0|r-a-n^-0|
การุณยวนิช	k-aa-z^-0|r-u-n^-0|j-a-z^-3|w-a-z^-3|n-i-t^-3|
การเกษตร	k-aa-n^-0|k-a-z^-1|s-ee-t^-1|
การเงิน	k-aa-n^-0|ng-q-n^-0|
การเมือง	k-aa-n^-0|m-vva-ng^-0|
การได้ยิน	k-aa-n^-0|d-aa-j^-2|j-i-n^-0|
กาล	k-aa-n^-0|
กาลิโก	k-aa-z^-0|l-i-z^-3|k-oo-z^-0|
กาลเทศะ	k-aa-z^-0|l-a-z^-3|th-ee-z^-0|s-a-z^-1|
กาลเวลา	k-aa-n^-0|w-ee-z^-0|l-aa-z^-0|
กาแฟ	k-aa-z^-0|f-xx-z^-0|
กำจัด	k-a-m^-0|c-a-t^-1|
กำนัน	k-a-m^-0|n-a-n^-0|
กำพร้า	k-a-m^-0|phr-aa-z^-3|
กำลัง	k-a-m^-0|l-a-ng^-0|
กำลังจะ	k-a-m^-0|l-a-ng^-0|c-a-z^-1|
กำลังเอก	k-a-m^-0|l-a-ng^-0|z-ee-k^-1|
กำลังใจ	k-a-m^-0|l-a-ng^-0|c-a-j^-0|
กำสรวล	k-a-m^-0|s-uua-n^-4|
กำหนด	k-a-m^-0|n-o-t^-1|
กำหนดการ	k-a-m^-0|n-o-t^-1|k-aa-n^-0|
กำเดา	k-a-m^-0|d-a-w^-0|
กำเนิด	k-a-m^-0|n-qq-t^-1|
กำไร	k-a-m^-0|r-a-j^-0|
กิจ	k-i-t^-1|
กิจกรรม	k-i-t^-1|c-a-z^-1|k-a-m^-0|
กิจการ	k-i-t^-1|c-a-z^-1|k-aa-n^-0|
กิจวัตร	k-i-t^-1|c-a-z^-1|w-a-t^-3|
กิตติ	k-i-t^-1|t-i-z^-1|
กิตติขจร	k-i-t^-1|t-i-z^-1|kh-a-z^-1|c-@@-n^-0|
กิน	k-i-n^-0|
กินดี	k-i-n^-0|d-ii-z^-0|
กินอยู่	k-i-n^-0|j-uu-z^-1|
กิริยา	k-i-z^-1|r-i-z^-3|j-aa-z^-0|
กิเลส	k-i-z^-1|l-ee-t^-1|
กีดกัน	k-ii-t^-1|k-a-n^-0|
กีดขวาง	k-ii-t^-1|khw-aa-ng^-4|
กีฬา	k-ii-z^-0|l-aa-z^-0|
กี่	k-ii-z^-1|
กึ่ง	k-v-ng^-1|
กุม	k-u-m^-0|
กุมภาพันธ์	k-u-m^-0|ph-aa-z^-0|ph-a-n^-0|
กุศล	k-u-z^-1|s-o-n^-4|
กุหลาบ	k-u-z^-1|l-aa-p^-1|
กุ้ง	k-u-ng^-2|
กู	k-uu-z^-0|
กู้	k-uu-z^-2|
ก็	k-@@-z^-2|
ก็ดี	k-@@-z^-2|d-ii-z^-0|
ก็ตาม	k-@@-z^-2|t-aa-m^-0|
ก็ตามแต่	k-@@-z^-2|t-aa-m^-0|t-xx-z^-1|
ก็ได้	k-@@-z^-2|d-a-j^-2|
ก็ได้	k-@@-z^-2|d-aa-j^-2|
ก่อ	k-@@-z^-1|
ก่อตั้ง	k-@@-z^-1|t-a-ng^-2|
ก่อน	k-@@-n^-1|
ก่อนหน้า	k-@@-n^-1|n-aa-z^-2|
