*******************************************
วิธีการอ่าน  INDEX ของฐานข้อมูล LOTUS

ชุดข้อมูล	ลำดับที่	เลขที่ประโยค (ใช้อ้างอิงประกอบกับ XXsen.txt)
*******************************************
Da001	001	dt0361
Da001	002	dt0442
Da001	003	dt0262
Da001	004	dt0406
Da001	005	dt0144
Da001	006	dt0385
Da001	007	dt0268
Da001	008	dt0489
Da001	009	dt0294
Da001	010	dt0266
Da001	011	dt0114
Da001	012	dt0192
Da001	013	dt0322
Da001	014	dt0096
Da001	015	dt0027
Da001	016	dt0134
Da001	017	dt0475
Da001	018	dt0018
Da001	019	dt0466
Da001	020	dt0348
Da001	021	dt0400
Da001	022	dt0395
Da001	023	dt0008
Da001	024	dt0441
Da001	025	dt0449
Da001	026	dt0446
Da001	027	dt0438
Da001	028	dt0308
Da001	029	dt0171
Da001	030	dt0058
Da001	031	dt0186
Da001	032	dt0326
Da001	033	dt0472
Da001	034	dt0323
Da001	035	dt0456
Da001	036	dt0052
Da001	037	dt0012
Da001	038	dt0158
Da001	039	dt0159
Da001	040	dt0347
Da001	041	dt0044
Da001	042	dt0337
Da002	001	dt0151
Da002	002	dt0394
Da002	003	dt0483
Da002	004	dt0063
Da002	005	dt0333
Da002	006	dt0190
Da002	007	dt0036
Da002	008	dt0239
Da002	009	dt0424
Da002	010	dt0009
Da002	011	dt0163
Da002	012	dt0250
Da002	013	dt0203
Da002	014	dt0197
Da002	015	dt0209
Da002	016	dt0115
Da002	017	dt0295
Da002	018	dt0413
Da002	019	dt0199
Da002	020	dt0341
Da002	021	dt0258
Da002	022	dt0053
Da002	023	dt0386
Da002	024	dt0082
Da002	025	dt0162
Da002	026	dt0103
Da002	027	dt0098
Da002	028	dt0353
Da002	029	dt0222
Da002	030	dt0423
Da002	031	dt0230
Da002	032	dt0167
Da002	033	dt0298
Da002	034	dt0238
Da002	035	dt0077
Da002	036	dt0301
Da002	037	dt0108
Da002	038	dt0366
Da002	039	dt0113
Da002	040	dt0306
Da002	041	dt0408
Da002	042	dt0409
Da003	001	dt0307
Da003	002	dt0160
Da003	003	dt0215
Da003	004	dt0212
Da003	005	dt0001
Da003	006	dt0174
Da003	007	dt0062
Da003	008	dt0255
Da003	009	dt0334
Da003	010	dt0371
Da003	011	dt0278
Da003	012	dt0152
Da003	013	dt0495
Da003	014	dt0080
Da003	015	dt0349
Da003	016	dt0314
Da003	017	dt0083
Da003	018	dt0089
Da003	019	dt0007
Da003	020	dt0127
Da003	021	dt0037
Da003	022	dt0079
Da003	023	dt0460
Da003	024	dt0010
Da003	025	dt0477
Da003	026	dt0175
Da003	027	dt0388
Da003	028	dt0168
Da003	029	dt0061
Da003	030	dt0016
Da003	031	dt0363
Da003	032	dt0362
Da003	033	dt0499
Da003	034	dt0064
Da003	035	dt0100
Da003	036	dt0480
Da003	037	dt0452
Da003	038	dt0133
Da003	039	dt0220
Da003	040	dt0005
Da003	041	dt0253
Da003	042	dt0450
Da004	001	dt0254
Da004	002	dt0202
Da004	003	dt0461
Da004	004	dt0274
Da004	005	dt0205
Da004	006	dt0427
Da004	007	dt0330
Da004	008	dt0112
Da004	009	dt0264
Da004	010	dt0150
Da004	011	dt0156
Da004	012	dt0094
Da004	013	dt0272
Da004	014	dt0131
Da004	015	dt0118
Da004	016	dt0368
Da004	017	dt0493
Da004	018	dt0247
Da004	019	dt0157
Da004	020	dt0140
Da004	021	dt0170
Da004	022	dt0065
Da004	023	dt0236
Da004	024	dt0099
Da004	025	dt0189
Da004	026	dt0241
Da004	027	dt0135
Da004	028	dt0078
Da004	029	dt0422
Da004	030	dt0291
Da004	031	dt0217
Da004	032	dt0309
Da004	033	dt0486
Da004	034	dt0173
Da004	035	dt0072
Da004	036	dt0019
Da004	037	dt0411
Da004	038	dt0478
Da004	039	dt0273
Da004	040	dt0121
Da004	041	dt0224
Da004	042	dt0231
Da005	001	dt0430
Da005	002	dt0022
Da005	003	dt0454
Da005	004	dt0500
Da005	005	dt0123
Da005	006	dt0418
Da005	007	dt0216
Da005	008	dt0153
Da005	009	dt0451
Da005	010	dt0267
Da005	011	dt0172
Da005	012	dt0382
Da005	013	dt0321
Da005	014	dt0054
Da005	015	dt0050
Da005	016	dt0187
Da005	017	dt0440
Da005	018	dt0185
Da005	019	dt0223
Da005	020	dt0104
Da005	021	dt0176
Da005	022	dt0003
Da005	023	dt0412
Da005	024	dt0194
Da005	025	dt0101
Da005	026	dt0042
Da005	027	dt0426
Da005	028	dt0410
Da005	029	dt0211
Da005	030	dt0210
Da005	031	dt0188
Da005	032	dt0365
Da005	033	dt0352
Da005	034	dt0057
Da005	035	dt0392
Da005	036	dt0169
Da005	037	dt0287
Da005	038	dt0213
Da005	039	dt0393
Da005	040	dt0232
Da005	041	dt0340
Da005	042	dt0257
Da006	001	dt0047
Da006	002	dt0310
Da006	003	dt0420
Da006	004	dt0439
Da006	005	dt0130
Da006	006	dt0191
Da006	007	dt0431
Da006	008	dt0317
Da006	009	dt0265
Da006	010	dt0006
Da006	011	dt0381
Da006	012	dt0095
Da006	013	dt0379
Da006	014	dt0433
Da006	015	dt0277
Da006	016	dt0328
Da006	017	dt0374
Da006	018	dt0011
Da006	019	dt0032
Da006	020	dt0378
Da006	021	dt0234
Da006	022	dt0327
Da006	023	dt0081
Da006	024	dt0479
Da006	025	dt0496
Da006	026	dt0345
Da006	027	dt0494
Da006	028	dt0263
Da006	029	dt0261
Da006	030	dt0088
Da006	031	dt0004
Da006	032	dt0229
Da006	033	dt0035
Da006	034	dt0359
Da006	035	dt0120
Da006	036	dt0251
Da006	037	dt0184
Da006	038	dt0311
Da006	039	dt0474
Da006	040	dt0180
Da006	041	dt0283
Da006	042	dt0396
Da007	001	dt0457
Da007	002	dt0039
Da007	003	dt0435
Da007	004	dt0481
Da007	005	dt0227
Da007	006	dt0143
Da007	007	dt0343
Da007	008	dt0195
Da007	009	dt0320
Da007	010	dt0073
Da007	011	dt0286
Da007	012	dt0214
Da007	013	dt0149
Da007	014	dt0373
Da007	015	dt0339
Da007	016	dt0370
Da007	017	dt0285
Da007	018	dt0045
Da007	019	dt0002
Da007	020	dt0246
Da007	021	dt0219
Da007	022	dt0226
Da007	023	dt0256
Da007	024	dt0085
Da007	025	dt0020
Da007	026	dt0046
Da007	027	dt0276
Da007	028	dt0315
Da007	029	dt0367
Da007	030	dt0129
Da007	031	dt0137
Da007	032	dt0201
Da007	033	dt0068
Da007	034	dt0017
Da007	035	dt0111
Da007	036	dt0110
Da007	037	dt0389
Da007	038	dt0376
Da007	039	dt0289
Da007	040	dt0028
Da007	041	dt0240
Da007	042	dt0138
Da008	001	dt0280
Da008	002	dt0237
Da008	003	dt0128
Da008	004	dt0444
Da008	005	dt0401
Da008	006	dt0344
Da008	007	dt0056
Da008	008	dt0436
Da008	009	dt0453
Da008	010	dt0055
Da008	011	dt0139
Da008	012	dt0228
Da008	013	dt0093
Da008	014	dt0375
Da008	015	dt0102
Da008	016	dt0419
Da008	017	dt0335
Da008	018	dt0025
Da008	019	dt0360
Da008	020	dt0336
Da008	021	dt0221
Da008	022	dt0207
Da008	023	dt0356
Da008	024	dt0198
Da008	025	dt0390
Da008	026	dt0282
Da008	027	dt0338
Da008	028	dt0259
Da008	029	dt0490
Da008	030	dt0107
Da008	031	dt0293
Da008	032	dt0208
Da008	033	dt0355
Da008	034	dt0086
Da008	035	dt0354
Da008	036	dt0124
Da008	037	dt0462
Da008	038	dt0471
Da008	039	dt0473
Da008	040	dt0292
Da008	041	dt0193
Da008	042	dt0399
Da009	001	dt0178
Da009	002	dt0126
Da009	003	dt0316
Da009	004	dt0303
Da009	005	dt0404
Da009	006	dt0145
Da009	007	dt0429
Da009	008	dt0358
Da009	009	dt0428
Da009	010	dt0290
Da009	011	dt0271
Da009	012	dt0279
